 习近平关于三农工作论述摘编 大字本 中央文献出版社 ,,30.0,0,0
 【人民出版社】 在纪念*同志诞辰120周年座谈会上的讲话 ,《在纪念同志诞辰120周年座谈会上的讲话》由人民出版社出版。,1.5,0,0
 【现货速发】习近平关于全面从严治党论述摘编（2021年版）普及本 中央文献出版社9787507348279 党建读物党政 正版直供 优质图书,,44.0,0,0
 【现货速发】习近平关于青少年和共青团工作论述摘编（大字本）党政读物党建书籍 中央文献出版社 9787507345834 正版直供 优质图书,,14.0,0,0
 【全套10册组合】习近平在上海+习近平在浙江（上下册）+习近平在福建（上下册）+习近平的七年知青岁月+习近平在福州+习近 正版直供 优质图书,,480.0,0,4
 全4册 习近平经济思想的生动实践述评+习近平经济思想研究文集2021+践行习近平经济思想调研文集（2021）+习近平关于 ,,159.0,100,27
 习近平关于全面从严治党论述摘编（2021年版）普及本 中央文献出版社 预售 ,,44.0,0,0
 同舟共济克时艰，命运与共创未来——在博鳌亚洲论坛2021年年会开幕式上的视频主旨演讲 ,,1.5,0,0
 深入学习习近平关于体育的重要论述 国家体育总局编写 人民出版社 ,,41.8,100,60
 习近平在上海 精装版 中共中央党校出版社 9787503572708 ,,62.8,100,6
 习近平外交演讲集第一卷+第二卷 全2册 大字版 现货速发 16开 中央文献出版社 9787507349009 ,,122.0,0,0
 10册 习近平在上海+习近平在浙江（上下册）+习近平在福建+习近平在福州+习近平在宁德+习近平在厦门+习近平在正定+习近 ,,480.0,0,4
 【现货速发】习近平书信选集 第一卷（大字本） 选入2013年5月至2021年12月期间的书信选集党员党政读物书籍 中央文 正版直供 优质图书,,51.8,0,13
 习近平扶贫论述摘编（英） ,,67.5,0,0
 【党史全套4册组合】习近平新时代中国特色社会主义思想学习问答（普及本）+中国共产党简史+论中国共产党历史（普及本）+毛泽 正版直供 优质图书,,69.0,0,0
 在全国劳动模范和先进工作者表彰大会上的讲话 ,,1.5,0,0
 习近平的七年知青岁月 中央党校采访实录编辑室 著 著 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,,47.1,0,0
 习近平关于坚持和完善党和国家监督体系论述摘编 大字本 16开 现货发售中央文献出版社中国方正出版社 ,,33.5,100,17
 习近平谈治国理政 第三卷（葡文版，精装） ,本书的出版发行，对帮助国外读者系统了解掌握*新时代中国特色社会主义思想的精神实质和丰富内涵，增进对中国共产党为什么能、马克思主义为什么行、中国特色社会主义为什么好的认识和理解，具有重要意义。,70.8,100,8
 在第十八届中央纪律检查委员会第六次全体会议上的讲话 ,,1.5,0,0
 在纪念五四运动100周年大会上的讲话 ,,1.25,0,0
 同舟共济克时艰，命运与共创未来——在博鳌亚洲论坛2021年年会开幕式上的视频主旨演讲 ,,1.0,0,0
 让多边主义的火炬照亮人类前行之路——在世界经济论坛“达沃斯议程”对话会上的特别致辞 ,,1.0,0,0
 习近平谈治国理政 第三卷（德文版，精装） ,本书的出版发行，对帮助国外读者系统了解掌握习近平新时代中国特色社会主义思想的精神实质和丰富内涵，增进对中国共产党为什么能、马克思主义为什么行、中国特色社会主义为什么好的认识和理解，具有重要意义。,70.8,0,11
 习近平用典第2辑 人民日报出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,,31.3,0,0
 习近平关于坚持和完善党和国家监督体系论述摘编（大字本）中央文献出版社中国方正出版社9787517410065 正版直供 优质图书,,31.0,0,5
