 【现货速发】习近平与大学生朋友们 2020新时代党的共青团支部工作和高校思想政治教育党建图书籍 中国青年出版社97875 正版直供 优质图书,,58.0,0,0
 官方 习近平新闻思想讲义2018年版 人民出版社 新时代中国特色社会主义思想舆论要论概论学习纲要学习党政读物党建书籍 ,,28.0,0,0
 习近平用典第一辑+习近平用典第二辑 人民日报出版社 新时代讲中国故事经典谈治国理政三四党史党政读物党建图书籍 ,,81.0,0,0
 习近平在上海+习近平在浙江+习近平在福建+习近平在福州+习近平在宁德+习近平在厦门+习近平在正定+习近平的七年知青岁月 平装版,,532.8,0,1
 【全3册组合】习近平在厦门+习近平在宁德+习近平在正定（平装版） 党建读物党政书籍 中央党校出版社 正版直供 优质图书,,141.6,0,0
 同舟共济，继往开来，携手构建新时代中非命运共同体 ——在中非合作论坛第八届部长级会议开幕式上的主旨演讲 ,,1.5,0,120
 守望相助共克疫情 携手同心推进合作—在金砖国家领导人第十二次会晤上的讲话 ,,1.6,0,0
 习近平经济思想研究文集(2021) 郑庆东编 学思践悟经济思想丛书 经济思想的学理化研究 经济思想的生动实践述评 新时代 ,,49.5,0,1
 习近平新时代中国特色社会主义思想在浙江的萌发与实践 浙江人民出版社 ,,59.5,0,0
 在北京冬奥会、冬残奥会总结表彰大会上的讲话 32开单行本 人民出版社9787010246888 ,,1.5,0,0
 【现货速发】习近平关于中国特色大国外交论述摘编（普及本）党政书籍党建读物9787507347579 中央文献出版社 正版直供 优质图书,,34.5,0,0
 【全套5册组合】习近平在福州+习近平在宁德+习近平在厦门+习近平在正定+习近平的七年知青岁月（平装版） 党建读物党政书籍 正版直供 优质图书,,246.5,0,0
 坚定信心 勇毅前行 共创后疫情时代美好世界 ——在2022年世界经济论坛视频会议的演讲 ,,1.5,0,0
 习近平关于网络强国论述摘编 普及本 党政读物党建书籍 ,,22.5,0,0
 习近平法治思想概论 马克思主义理论研究与建设工程重点教材法制 高等教育出版社 2021新版 马克思主义理论研究与建设工程 ,,39.8,0,0
 在全国民族团结进步表彰大会上的讲话 ,,1.5,0,0
